notsweeney: VARIETY RISE UP
schwarb: 1
leglessschism: 2
dizzyaero: 1
tempereagle: 2
rcmartinez2441: noooooooooooooooooo
pphop_: PepoDance
talpine_prime: 1
fallen_owl: 22
aryrha: 2
kailemyork3: 1
bbgbbq: 2
truedelema: 1
ninja_star_salv1: 2
mygamingemail: @a_seagull which variety?
fiestes: CMON MAN
stannahstairlift: 7
carwinlovescats: 2
ericdraco: so close
protectmebotch: 2
fallen_owl: 2
house_window_: 1
physix101: 2
ghostnote88: 1
vycarial: 1
guelphie: 1
fallen_owl: 22
itsjusttony0: 1
gym_leader_giovanni: 2
cheetoed: 2
whatsarasaid: 2
inaif_gs: 2
nelram_backwards: 1
qrickq: Play what you want @A_Seagull
stannahstairlift: 2
gotta_dance: You need to set a time limit on the poll @A_Seagull
stevethepirate8: 2
kimmegw: that thing probably doesnt do unique votes
fallen_owl: 2
redenzo: 1
djsaltylove: YES
chronoxfinity: POLL IS RIGGED
cerfrees: 1
jonnymac1992: chat is full of enlightened centrists
fiestes: AHAHAHAHAHAHAHAH
prettyn00se: 2
ericdraco: 1
gaby1058: YESSSS
senshijen: PogU
apotheosispink: 2
rad____: 1
rcmartinez2441: YESSSSSS
xur_and_his_gjallarhorn: 1
sowizardhologram: 2
babyshpee30772: OMG
ares711: 1
basin_1: 1
stannahstairlift: (
pyrrhus22: RIGGED
unain: LUL
hakkusa: YES
reactconfuzled: LUL
toti321: OMEGALUL
futte92: 
asamiiiiiiii: lol
grnbyguy: 1
djsaltylove: SuCK IT
notsweeney: GOTTEM
theboraxkidd: POG
beamerwalls: WOW
liamtom542000: LUL
stannahstairlift: 2
shortsword: LULW
kruimel24: SO CLOSE
cosmozitan72: Pog
atomicbonejuice: RIGGED
tenathetiger: LUL
llamapi: 2
hold_myhand: LULW
majinmind: Jebaited
kellydeni: Pog
quit8: 2
robinmark: 1
keyorden: Wow
okeefm: LUL
iceaddict_: ???????
nivarod: PogU
asiansinagrocerystore: 2
stannahstairlift: w
brogarn: RIGGED
abcdefghijames: 2
inaif_gs: LOL
bitmusic: @A_Seagull what is the meaning of variety games? like several games at once or some special games??
zayko31: AHAHAHAHAHAHA LULW
catbred: RIGGED
stannahstairlift: 2
redjackall: RIGGED DansGame
zeneage: BREXIT
blackout2388: PICK 1 SwiftRage
freedom01ish: YES
starlightpaw: LULW
legitbud3r: LUL
murrrrrrrrrrrrrrr: 222222222222222222222222222
gotta_dance: seagGOTEM
senshijen: NOT RIGGED Pog
madnesshood: 1
iceaddict_: RIGGED
captain_kash: LUL
xxkfc_rockersxx: So close
mrrogersbloodstndsweater: LUL
kethonleo: 11
fiestes: LULW
okeefm: OMEGALUL
cusseh: ooooof
yggratnia: it would've won PepeHands#
bromstone: WIN!!
blockayyyy: so just play what you want
drexcim: 2
stannahstairlift: ) and
krazymustard: RIGGED
pyrrhus22: RIGGED DansGame
ericdraco: LUL
kethonleo: 1
cmdr_elwing: too close to call LULW
ghostnote88: Thank godd
linkerbs: LUL
chronoxfinity: DELTA = OUR FAVOR
onehappyduck: 2
hold_myhand: Recount! DansGame
saddrybiscuit: RIGGED
stannahstairlift: 2
malikasas: RIGGED SMOrc
freedom01ish: VARIETY HERE WE GOOOOO
thanhlachum: GIVE HIM A USELESS RESULT PLS LULW
maciasj04: 2
zayko31: WE WON
crossfittingjesus: RIGGED
pimozide: ow/apex
salazzles: YES
munumafia: RIGGED
darwin_derby: lmao
wodeog: 1
misterhomely: 1
handrekingston: LUL LUL LUL
futte92: PepeHands
shrijo: NotLikeThis
minzzis: RIGGED BabyRage
stannahstairlift: @
neutronbomb69: TF2
accuracyoverrated: LUL
wastedlionmurk: viewers about to be halfed
liamtom542000: RIGGED DansGame
1onenine9: ya gotta
unain: BREXIT MAJORITY Pog
ericdraco: RIGGED
pimozide: NOOOOOOOOOOOO
yggratnia: 3 Pog
mrsteviepoo: 2
stannahstairlift: 2
xur_and_his_gjallarhorn: It wins
qorsaire: can people vote for both
brogarn: I CALL SHENANIGANS
snamuli: 2
lord_giraffe68: LUL DEMOCRACY WINS AGAIN BOYS
shrijo: Pog
okeefm: LULW
oliver_jay: WHAT
flook: Polling with style
captain_kash: NOT RIGGED LULW
stannahstairlift: @
bbgbbq: brxit
pearciepi: recount
torbgod: 2
aryrha: 2
vinicius_martins_vaz: rigged
dafuq_u_want_m8_dansgame: Wtf
rodolphmars: RIGGED BabyRage
corporatemercenary: PepeHands
pubbehey11: 22222222222222222222
gotta_dance: RoR2 BabyRage
pphop_: i voted varienty
stannahstairlift: 2
bbgbbq: brexit
donovaan_ow: Rigged!
cdoggity: 2
allxmightx: @a_seagull whatever you choose will snap 50% of your stream
swiftwind501: seagGOTEM
sowizardhologram: RIGGED BabyRage
okeefm: THIS IS HOW WE GOT BREXIT
babyshpee30772: NotLikeThis
iaizo: f
shrijo: LULW
stannahstairlift: $
shortsword: lulWut
saddrybiscuit: RIGGED Pepehands
stannahstairlift: 2
house_window_: @a_seagull do you plan on streaming Doom Eternal when it releases?
killercrossover_7: brexit results
saltypotato15: Rigged
profool: lul
stannahstairlift: “
krazymustard: THIS IS INJUSTICE
lil_demonn: variety atw
shrijo: ml7Ezzy
stannahstairlift: 2
salazzles: seagWOW seagWOW seagWOW seagWOW seagWOW
fiestes: HECK that was perfect
1onenine9: wtf is going on
gaby1058: Thank you! seagPog seagPog seagH
spectra_ow: hi
bromstone: EASY WIN!
onyde: variety lead the whole time. not rigged
stevethepirate8: Variety just no ROR
superben1755: rubyruFFF
emjit: Hey @a_seagull there is a new patch for risk of rain, you could check it out
aryrha: 
saddrybiscuit: PJSalt PJSalt PJSalt
flyingdeadmann: if we lose we dmand a revote
rcmartinez2441: Press 1 for Alpha, Press 2 for BETA
notsweeney: RoR ... 2!!!!!
donovaan_ow: LUL Brexit
senshijen: RoR2 with Bahroo PogU
nebulon2142: 2
ftmann: POLL AGAIN
corporatemercenary: OWL2019salt OWL2019salt
djsaltylove: SEKIRO
rodolphmars: r6 siege?
futte92: What? 😡
chiseledjawline: play Fortnite POGGERS
lord_giraffe68: EZ Clap
crossfittingjesus: @A_Seagull I will now unsub UnSane
unain: RoR2 Pog
krazymustard: play 3 games at once
liamtom542000: goodbye 559 viewers Kappa
legionof0ne: ROR2
iceaddict_: PREY Pog
okeefm: @A_Seagull monkey island?
blkdemon: Sekiro
apotheosispink: R I G G E D
theboraxkidd: Rainbow Siege!!
flook: Brag
bitmusic: what is the meaning of variety games? like several games at once or some special games?? I actually hear it so much and have no idea what it means, chat halp
marymigo: Rainbow Six Siege
jacko330: Just make a poll with risk of rain 2
bbgbbq: witcher3
saddrybiscuit: 2
rcmartinez2441: MONKEY.... ISLAND
mygamingemail: RIGGED
shrain: Perfectly Balanced type shit
tmi.twitch.tv
: 
babyshpee30772: WWZ
profool: i love it. literally anything BUT
captainscrapples: RISK OF RAIN
mrrogersbloodstndsweater: Play Sekiro
shenko: Play TF2 LUL
accuracyoverrated: Crap, I misvoted! Can you change me to 2 @a_seagull KappaHD
stevethepirate8: Boarderlands 1
mrskeezymak: BL2 LilPog
theboraxkidd: DO IT
dgsdtdsgd__: kovaak's aim trainer PogChamp
darwin_derby: hollow knight
n1cegn0me: xcom
mrrogersbloodstndsweater: Do it
lil_demonn: bioshock
pyrrhus22: monkaW
allxmightx: OW and Apex IS VARIETY
chronoxfinity: SIEGE
qrickq: DO it Pog
asiansinagrocerystore: SEKIRO
kruimel24: ROR2 Pog
david33811: outward Pog
zayko31: do it
streamelements: Check out my YouTube! http
crossfittingjesus: play Anno 1800 LUL
swiftwind501: R6S seagBAKA
steeldragon22: RoR
killercrossover_7: play for honor lol
blkdemon: Do it
fugue_997: Holy steam library
jez_w: Quake Champions WeirdChamp
stevethepirate8: MONKEY ISLAND
hakkusa: Getting Over It
carwinlovescats: PLAY SIEGE NEW PATCH
chronoxfinity: PLAY SIEGE
c4deszes: This vote reminds me of Trump election and Brexit LULW
notsweeney: bookworm adventure 2
yggratnia: welp its gonna have to be apex/ow then LUL
blackout2388: variety can even be Apex/OW LUL
okeefm: @A_Seagull have you played Portal on stream yet?
eloris: r6!!!
pimozide: DO IT
jaeeko: put a random ass game in the poll
house_window_: shadow of the tomb raider LULW
mrwixxervfn: How long do you intend to stream? Gotta go running, but wanna watch too....
shrijo: warframe Pog @A_Seagull
theraginasian135: Monster Hunter World tho
quit8: 2
vycarial: effect PepeHands
mygamingemail: SIEGE @a_seagull
protean: RIP affect
crimesssbm: SIEGE!!
accuracyoverrated: MONKEY ISLAND
notsweeney: POG
futte92: TRUE LULW
babyshpee30772: PunKp
saltypotato15: Play siege
nebulon2142: SIEGE
senshijen: PogU
pphop_: Pog
kruimel24: PogChamp
theboraxkidd: SIEGE
