Streamer,Hours_Streamed,Average_Viewers,Peek_Vierwers,Days_Active,Total_Games_Streamed,Daily_Broadcast_Time,Hours_Watched_Daily,Follower_Gained/stream,Views/stream,Followers_Gained/Hour,Followers_to_Date,Total_Views,Active_Days_per_Week,Average_Games/stream,Views/hour
ninja,7671,38346,616693,792,32,10,371419,11976,365766,1778.2,13863213,436833919,6.4,1.3,1778.2
shroud,6075,29000,202955,728,157,8,241993,7505,376304,879.6,6088584,295436746,5.9,2.1,879.6
tfue,4678,18203,152683,724,16,6,117605,7566,140656,1166.2,5493940,101627899,5.8,1.1,1166.2
tsm_myth,4920,10297,164817,747,30,7,67813,6621,98261,1009.3,4966908,73717155,6,1.1,1009.3
timthetatman,4895,17136,89207,725,60,7,115696,2471,87656,570.8,3603076,131286454,5.9,2,570.8
dakotaz,5039,13503,111193,619,25,8,109926,5469,121636,691.3,3582858,86921888,5,1.2,691.3
riotgames,3041,59465,561468,344,1,9,525744,3107,613312,383.1,3518063,1113673334,2.8,1,383.1
tsm_daequan,2352,17416,150502,425,23,6,96377,9364,124160,1469.2,3455338,45815404,4.9,1.1,1469.2
drdisrespect,3616,20426,363980,608,61,6,121474,5909,220324,906.9,3374495,124150056,4.9,1.8,906.9
drlupo,6873,5696,138477,784,47,9,49932,2501,46065,457.9,3179443,58476458,6.3,1.3,457.9
esl_csgo,20145,4360,562080,855,1,24,102726,2991,356230,56.7,2921596,341891937,6.9,1,56.7
pokimane,2265,7792,79479,660,30,3,26746,5179,108876,1179.6,2919416,62567827,5.3,1.5,1179.6
syndicate,1105,3505,34877,271,36,4,14292,793,55760,209.6,2692188,55238032,2.3,1.4,209.6
imaqtpie,6762,16241,77541,780,32,9,140800,1438,182764,164.6,2563291,312385457,6.3,1.2,164.6
nickmercs,5276,11843,131997,720,26,7,86788,3115,70926,425.1,2533362,54773657,5.8,1.4,425.1
sodapoppin,4851,22054,90822,684,732,7,156425,1956,230516,220.5,2416195,266167527,5.5,4.4,220.5
lirik,5488,23420,84821,788,777,7,163112,1145,186646,163.6,2408863,291811088,6.4,3.9,163.6
